,mbta_part_number,description,mfg,mfg_itm_id
30194,31423021,DRILL 1/2 COBALT HD AIRC TJY JOB LENTH 6/PK,CHI.LATROB,46632
30195,31423021,DRILL 1/2 COBALT HD AIRC TJY JOB LENTH 6/PK,TITAN USA,CD50032
30196,31423021,DRILL 1/2 COBALT HD AIRC TJY JOB LENTH 6/PK,UNIONB,46-10277
30197,31423022,DRILL 27/64 COBALT HD AIRC. TYJ JOB LENGTH 6/PK,CHI.LATROB,46627
30198,31423022,DRILL 27/64 COBALT HD AIRC. TYJ JOB LENGTH 6/PK,MILW,48-89-1820
30199,31423022,DRILL 27/64 COBALT HD AIRC. TYJ JOB LENGTH 6/PK,MORSE,17211
30200,31423022,DRILL 27/64 COBALT HD AIRC. TYJ JOB LENGTH 6/PK,TITAN USA,CD50027
30201,31423022,DRILL 27/64 COBALT HD AIRC. TYJ JOB LENGTH 6/PK,UNIONB,46-10272
30202,31423023,DRILL 7/16 COBALT HD AIRC. TYJ JOB LENTH 6/PK,CHI.LATROB,46628
30203,31423023,DRILL 7/16 COBALT HD AIRC. TYJ JOB LENTH 6/PK,MILW,48-89-1825
30204,31423023,DRILL 7/16 COBALT HD AIRC. TYJ JOB LENTH 6/PK,MORSE,17212
30205,31423023,DRILL 7/16 COBALT HD AIRC. TYJ JOB LENTH 6/PK,PRECISION,010328
30206,31423023,DRILL 7/16 COBALT HD AIRC. TYJ JOB LENTH 6/PK,TITAN USA,CD50028
30207,31423023,DRILL 7/16 COBALT HD AIRC. TYJ JOB LENTH 6/PK,UNIONB,46-10273
30208,31423023,DRILL 7/16 COBALT HD AIRC. TYJ JOB LENTH 6/PK,VIKING TOOL,08250
30209,31423033,DRILL-5/8 IN.TWIST-N O.4 SHANK,PRECISION,209
30210,31423034,DRILL-1 IN.TWIST-NO. 4 SHANK,PRECISION,209
30211,31423035,DRILL-1 1/8 IN.TWIST -NO.4 SHANK,PRECISION,209
30212,31423036,DRILL-1 1/4 HS W/NO 4 MTS 150 DEG,MORSE,NO-1302
30213,31423036,DRILL-1 1/4 HS W/NO 4 MTS 150 DEG,PRECISION,NO-209
30214,31423055,DRILL-5/8 X 12 STAR HAND,GENERIC,5/8X12
30215,31423063,"DRILL-1"" MORSE TAPER SHANK TWST HIGH SPEED #4 SHANK",MORSE,1302
30216,31423064,"DRILL- 1 1/8"" MORSE T APER SHANK TWIST HIGH SPEED #4",GENERIC,1 1/8 NO.4
30217,31423065,"DRILL- 1 1/4"" MORSE T APER SHANK TWIST HIGH SPEED #4",GENERIC,1 1/4' NO.4
30218,31423073,DRILL-3/4 CARBIDE .3 14 DIA A TAPER IR,GENERIC,H541U-A761
30219,31423079,DRILL-3/4 STAR-AIR H AMMER-CP,GENERIC,P-6537Y
30220,31423081,DRILL 1 STAR STD RD SHANK TYPE A 8IN DRILL DEPTH,CHGO PNEU,CAT#564 PG I-4
30221,31423085,"ROTOBROACH 1 1/2"" RAIL CUTTER-15000 SERIES DRILL",HD CHASEN,MR902-017
30222,31423085,"ROTOBROACH 1 1/2"" RAIL CUTTER-15000 SERIES DRILL",HOUGEN MFG,15248
30223,31423085,"ROTOBROACH 1 1/2"" RAIL CUTTER-15000 SERIES DRILL",RAILROAD TOOL/SOLUTIONS,MR902-017
30224,31423086,"ROTOBROACH 1 1/8"" RAIL CUTTER 15000 SERIES DRILL",HD CHASEN,MR902-011
30225,31423086,"ROTOBROACH 1 1/8"" RAIL CUTTER 15000 SERIES DRILL",HOUGEN MFG,15236
30226,31423086,"ROTOBROACH 1 1/8"" RAIL CUTTER 15000 SERIES DRILL",RAILROAD TOOL/SOLUTIONS,MR902-011
30227,31423087,"CUTTER-HOUGEN 1 1/2"" DIA X 2"" NITRIDED",H D CHASEN,1364
30228,31423087,"CUTTER-HOUGEN 1 1/2"" DIA X 2"" NITRIDED",HOUGEN MFG,01364
30229,31423088,"CUTTER-HOUGEN 1 1/8"" DIA X 2"" NITRIDED",H D CHASEN,1358
30230,31423088,"CUTTER-HOUGEN 1 1/8"" DIA X 2"" NITRIDED",HOUGEN MFG,1358
30231,31423090,"DRILL 1"" FLAT HEADED HIGH SPEED TRACK",GENERIC,2871
30232,31423090,"DRILL 1"" FLAT HEADED HIGH SPEED TRACK",GENERIC,N.V.TWIST DRIL
